V0,V-1,V-2,V-3,I0,ID0,dd-1,dd-2,dd-3,dv-1,dv-2,dv-3,dID-1,dID-2,dID-3,tag
-1.8975,-1.518,-1.4547,-1.771,11.564,352.35,-0.011947,0.041828,-0.034776,-0.001265,-0.00063249,0.0031624,-0.011345,-0.077984,0.034741,8
-1.5812,-1.8975,-1.518,-1.4547,11.218,341.8,-0.0053292,-0.011947,0.041828,0.0031624,-0.001265,-0.00063249,-0.10545,-0.011345,-0.077984,8
-1.5812,-1.5812,-1.8975,-1.518,11.893,362.37,0.001467,-0.0053292,-0.011947,0,0.0031624,-0.001265,0.2285,-0.10545,-0.011345,8
-1.6445,-1.5812,-1.5812,-1.8975,11.654,355.08,0.0014383,0.001467,-0.0053292,-0.00063248,0,0.0031624,-0.072808,0.2285,-0.10545,8
-1.8342,-1.6445,-1.5812,-1.5812,11.263,334.36,0.0070891,0.0014383,0.001467,-0.00094873,-0.00063248,0,-0.10361,-0.072808,0.2285,8
-1.518,-1.8342,-1.6445,-1.5812,11.692,347.1,0.01828,0.0070891,0.0014383,0.0015812,-0.00094873,-0.00063248,0.063667,-0.10361,-0.072808,8
-1.771,-1.518,-1.8342,-1.6445,11.309,326.89,-0.022496,0.01828,0.0070891,-0.0008694,0.0015812,-0.00094873,-0.069437,0.063667,-0.10361,8
-1.518,-1.771,-1.518,-1.8342,11.47,331.55,-0.0015701,-0.022496,0.01828,0.00253,-0.0008694,0.0015812,0.046559,-0.069437,0.063667,8
-1.4547,-1.518,-1.771,-1.518,11.506,332.6,0.0032792,-0.0015701,-0.022496,0.00063249,0.00253,-0.0008694,0.010544,0.046559,-0.069437,8
-1.518,-1.4547,-1.518,-1.771,11.795,340.95,-0.047209,0.0032792,-0.0015701,-0.00063249,0.00063249,0.00253,0.083537,0.010544,0.046559,8
-1.6445,-1.518,-1.4547,-1.518,11.36,319.51,0.060257,-0.047209,0.0032792,-0.001265,-0.00063249,0.00063249,-0.21449,0.083537,0.010544,8
-1.3915,-1.6445,-1.518,-1.4547,12.05,338.9,0.0023399,0.060257,-0.047209,0.0008724,-0.001265,-0.00063249,0.066877,-0.21449,0.083537,8
-1.4547,-1.3915,-1.6445,-1.518,11.349,310.33,-0.042272,0.0023399,0.060257,-0.00063249,0.0008724,-0.001265,-0.28565,0.066877,-0.21449,8
-1.518,-1.4547,-1.3915,-1.6445,11.063,302.5,-0.00096962,-0.042272,0.0023399,-0.00063249,-0.00063249,0.0008724,-0.078372,-0.28565,0.066877,8
-1.4547,-1.518,-1.4547,-1.3915,11.931,326.24,0.0092036,-0.00096962,-0.042272,0.00012908,-0.00063249,-0.00063249,0.048463,-0.078372,-0.28565,8
-1.5812,-1.4547,-1.518,-1.4547,11.941,326.5,0.0049134,0.0092036,-0.00096962,-0.001265,0.00012908,-0.00063249,0.0025423,0.048463,-0.078372,8
-1.4547,-1.5812,-1.4547,-1.518,11.526,306.16,-0.021761,0.0049134,0.0092036,0.00063249,-0.001265,0.00012908,-0.1017,0.0025423,0.048463,8
-1.3282,-1.4547,-1.5812,-1.4547,11.659,309.7,0.034072,-0.021761,0.0049134,0.001265,0.00063249,-0.001265,0.035447,-0.1017,0.0025423,8
-1.4547,-1.3282,-1.4547,-1.5812,11.684,301.23,-0.0026138,0.034072,-0.021761,-0.00032435,0.001265,0.00063249,-0.02174,0.035447,-0.1017,8
-1.3915,-1.4547,-1.3282,-1.4547,11.876,306.18,-0.010901,-0.0026138,0.034072,0.00063249,-0.00032435,0.001265,0.049579,-0.02174,0.035447,8
-1.7077,-1.3915,-1.4547,-1.3282,11.551,288.77,0.0046698,-0.010901,-0.0026138,-0.0010541,0.00063249,-0.00032435,-0.058053,0.049579,-0.02174,8
-1.3915,-1.7077,-1.3915,-1.4547,11.895,297.38,0.013937,0.0046698,-0.010901,0.0015812,-0.0010541,0.00063249,0.043077,-0.058053,0.049579,8
-1.4547,-1.3915,-1.7077,-1.3915,11.78,294.49,-0.08467,0.013937,0.0046698,-0.00063249,0.0015812,-0.0010541,-0.02891,0.043077,-0.058053,8
-1.518,-1.4547,-1.3915,-1.7077,11.597,289.93,-0.0074823,-0.08467,0.013937,-0.00063249,-0.00063249,0.0015812,-0.04559,-0.02891,0.043077,8
-1.518,-1.518,-1.4547,-1.3915,12.505,302.85,0.011893,-0.0074823,-0.08467,0,-0.00063249,-0.00063249,0.033114,-0.04559,-0.02891,8
-2.277,-1.9607,-1.9607,-2.2137,11.798,322.6,-0.02039,0.02528,-0.015668,-0.0015812,0,0.0013316,-0.084112,0.049349,0.11789,8
-2.024,-2.277,-1.9607,-1.9607,11.431,303.63,0.011856,-0.02039,0.02528,0.00064871,-0.0015812,0,-0.048652,-0.084112,0.049349,8
-2.0872,-2.024,-2.277,-1.9607,11.565,289.13,0.0017281,0.011856,-0.02039,-0.00015812,0.00064871,-0.0015812,-0.036227,-0.048652,-0.084112,8
-2.1505,-2.0872,-2.024,-2.277,11.885,297.11,-0.04415,0.0017281,0.011856,-0.00063248,-0.00015812,0.00064871,0.079788,-0.036227,-0.048652,8
-2.2137,-2.1505,-2.0872,-2.024,11.833,295.81,-0.052305,-0.04415,0.0017281,-0.00070277,-0.00063248,-0.00015812,-0.014439,0.079788,-0.036227,8
-1.9607,-2.2137,-2.1505,-2.0872,12.105,302.63,0.064835,-0.052305,-0.04415,0.0023,-0.00070277,-0.00063248,0.061937,-0.014439,0.079788,8
-1.9607,-1.9607,-2.2137,-2.1505,11.65,282.15,0.027998,0.064835,-0.052305,0,0.0023,-0.00070277,-0.22754,0.061937,-0.014439,8
-1.8975,-1.9607,-1.9607,-2.2137,11.607,272.04,0.00036962,0.027998,0.064835,0.00015812,0,0.0023,-0.025278,-0.22754,0.061937,8
-2.024,-1.8975,-1.9607,-1.9607,11.865,278.1,-0.03351,0.00036962,0.027998,-0.001265,0.00015812,0,0.060576,-0.025278,-0.22754,8
